Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Toronto,Start,Pass,10,89,89,92,34,
Toronto,End,Direct Play,0,10,93,34,-,-
U-15,Solo,Counterpress,0,10,68,59,76,57
Toronto,Solo,Counterpress,0,10,17,38,-,-
Toronto,Start,Pass,10,35,33,12,36,
Toronto,End,Counterpress,0,10,13,40,-,-
Toronto,Start,Pass,10,30,34,12,57,
Toronto,Middle,Pass,0,10,13,56,8,41
Toronto,Middle,Pass,0,10,6,42,5,57
Toronto,End,Sustained Possession,0,10,5,56,-,-
Toronto,Start,Pass,10,22,37,8,20,
Toronto,Middle,Pass,0,10,7,20,7,56
Toronto,End,Direct Play,0,10,7,58,-,-
