Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opposition
Toronto,Start,Pass,0,10,89,89,92,34,Toronto
Toronto,End,Direct Play,0,10,93,34,-,-,Toronto
U-15,Solo,Counterpress,0,10,68,59,76,57,Toronto
Toronto,Solo,Counterpress,0,10,17,38,-,-,Toronto
Toronto,Start,Pass,0,10,35,33,12,36,Toronto
Toronto,End,Counterpress,0,10,13,40,-,-,Toronto
Toronto,Start,Pass,0,10,30,34,12,57,Toronto
Toronto,Middle,Pass,0,10,13,56,8,41,Toronto
Toronto,Middle,Pass,0,10,6,42,5,57,Toronto
Toronto,End,Sustained Possession,0,10,5,56,-,-,Toronto
Toronto,Start,Pass,0,10,22,37,8,20,Toronto
Toronto,Middle,Pass,0,10,7,20,7,56,Toronto
Toronto,End,Direct Play,0,10,7,58,-,-,Toronto
